Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
20201208,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,11,"",11,"",All vaccinations
20201208,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,0,"",0,"",All vaccinations
20201208,S92000003,Moderna (Spikevax),"",Dose 1,0,"",0,"",All vaccinations
20201208,S92000003,Moderna (Spikevax),"",Dose 2,0,"",0,"",All vaccinations
20201208,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,1918,"",1918,"",All vaccinations
20201208,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,0,"",0,"",All vaccinations
20201208,S92000003,Total,"",Dose 1,1929,"",1929,"",All vaccinations
20201208,S92000003,Total,4439078,Dose 1,1928,0.0434324425026999,1928,0.0434324425026999,18 years and over
20201208,S92000003,Total,2875396,Dose 1,1341,0.0466370545135348,1341,0.0466370545135348,40 years and over
20201208,S92000003,Total,4549217,Dose 1,1929,0.0424029014223766,1929,0.0424029014223766,16 years and over
20201208,S92000003,Total,"",Dose 2,0,"",0,"",All vaccinations
20201208,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
20201208,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
20201208,S92000003,Total,4549217,Dose 2,0,0,0,0,16 years and over
20201209,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,8,"",19,"",All vaccinations
20201209,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,0,"",0,"",All vaccinations
20201209,S92000003,Moderna (Spikevax),"",Dose 1,0,"",0,"",All vaccinations
20201209,S92000003,Moderna (Spikevax),"",Dose 2,0,"",0,"",All vaccinations
20201209,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,3853,"",5771,"",All vaccinations
20201209,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,0,"",0,"",All vaccinations
20201209,S92000003,Total,"",Dose 1,3861,"",5790,"",All vaccinations
20201209,S92000003,Total,4439078,Dose 1,3861,0.0869775210077408,5789,0.130409963510441,18 years and over
20201209,S92000003,Total,2875396,Dose 1,2571,0.0894137711814303,3912,0.136050825694965,40 years and over
20201209,S92000003,Total,4549217,Dose 1,3861,0.084871748259096,5790,0.127274649681473,16 years and over
20201209,S92000003,Total,"",Dose 2,0,"",0,"",All vaccinations
20201209,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
20201209,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
20201209,S92000003,Total,4549217,Dose 2,0,0,0,0,16 years and over
20201210,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,10,"",29,"",All vaccinations
20201210,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,0,"",0,"",All vaccinations
20201210,S92000003,Moderna (Spikevax),"",Dose 1,0,"",0,"",All vaccinations
20201210,S92000003,Moderna (Spikevax),"",Dose 2,0,"",0,"",All vaccinations
20201210,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,4951,"",10722,"",All vaccinations
20201210,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,0,"",0,"",All vaccinations
20201210,S92000003,Total,"",Dose 1,4961,"",10751,"",All vaccinations
20201210,S92000003,Total,4439078,Dose 1,4960,0.111734914322298,10749,0.242144877832739,18 years and over
20201210,S92000003,Total,2875396,Dose 1,3272,0.113793021900288,7184,0.249843847595253,40 years and over
20201210,S92000003,Total,4549217,Dose 1,4960,0.109029751713317,10750,0.23630440139479,16 years and over
20201210,S92000003,Total,"",Dose 2,0,"",0,"",All vaccinations
20201210,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
20201210,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
20201210,S92000003,Total,4549217,Dose 2,0,0,0,0,16 years and over
20201211,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,5,"",34,"",All vaccinations
20201211,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,0,"",0,"",All vaccinations
20201211,S92000003,Moderna (Spikevax),"",Dose 1,0,"",0,"",All vaccinations
20201211,S92000003,Moderna (Spikevax),"",Dose 2,0,"",0,"",All vaccinations
20201211,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,5279,"",16001,"",All vaccinations
20201211,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,0,"",0,"",All vaccinations
20201211,S92000003,Total,"",Dose 1,5284,"",16035,"",All vaccinations
20201211,S92000003,Total,4439078,Dose 1,5282,0.118988672873061,16031,0.3611335507058,18 years and over
20201211,S92000003,Total,2875396,Dose 1,3476,0.120887696859841,10660,0.370731544455094,40 years and over
20201211,S92000003,Total,4549217,Dose 1,5284,0.116151856462332,16034,0.352456257857121,16 years and over
20201211,S92000003,Total,"",Dose 2,0,"",0,"",All vaccinations
20201211,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
20201211,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
20201211,S92000003,Total,4549217,Dose 2,0,0,0,0,16 years and over
20201212,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,10,"",44,"",All vaccinations
20201212,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,0,"",0,"",All vaccinations
