Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
20200228,S08000015,NHS Ayrshire and Arran,0,0,0,,0,0,0,8,28,7.608902415826518,9,0,0,,9,0,,:,,:,0,0
20200228,S08000016,NHS Borders,0,0,0,,0,0,0,3,25,21.69385629989587,3,0,0,,3,0,,:,,:,0,0
20200228,S08000017,NHS Dumfries and Galloway,0,0,0,,0,0,0,8,20,13.487086115044844,9,0,0,,9,0,,:,,:,0,0
20200228,S08000019,NHS Forth Valley,0,0,0,,0,0,0,14,58,18.95858529729023,20,0,0,,20,0,,:,,:,0,0
20200228,S08000020,NHS Grampian,0,0,0,,0,0,0,6,85,14.516266757749126,6,0,0,,6,0,,:,,:,0,0
20200228,S08000022,NHS Highland,0,0,0,,0,0,0,3,32,9.973197032973882,4,0,0,,4,0,,:,,:,0,0
20200228,S08000024,NHS Lothian,0,0,0,,0,0,0,43,173,18.959111880678144,51,0,0,,51,0,,:,,:,0,0
20200228,S08000025,NHS Orkney,0,0,0,,0,0,0,0,4,17.857142857142858,0,0,0,,0,0,,:,,:,0,0
20200228,S08000029,NHS Fife,0,0,0,,0,0,0,12,62,16.571779862614598,14,0,0,,14,0,,:,,:,0,0
20200228,S08000030,NHS Tayside,1,1,0.24006721882126994,,0,0,0,5,81,19.445444724522865,8,2,25,,8,0,,:,,:,2,0
20200228,S08000031,NHS Greater Glasgow and Clyde,0,0,0,,0,0,0,16,111,9.36519185987648,28,0,0,,28,0,,:,,:,0,0
20200228,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,8,55,8.308659133482385,10,0,0,,10,0,,:,,:,0,0
20200228,S92000003,Scotland,1,1,0.018294914013904134,,0,0,0,126,734,13.428466886205635,164,2,1.2195121951219512,,164,0,,:,,:,2,0
20200229,S08000015,NHS Ayrshire and Arran,0,0,0,,0,0,0,3,31,8.424141960379359,4,0,0,,4,0,,:,,:,0,0
20200229,S08000016,NHS Borders,0,0,0,,0,0,0,2,27,23.429364803887538,3,0,0,,3,0,,:,,:,0,0
20200229,S08000017,NHS Dumfries and Galloway,0,0,0,,0,0,0,5,25,16.858857643806058,8,0,0,,8,0,,:,,:,0,0
20200229,S08000019,NHS Forth Valley,0,0,0,,0,0,0,10,68,22.227306900271305,14,0,0,,14,0,,:,,:,0,0
20200229,S08000020,NHS Grampian,0,0,0,,0,0,0,5,90,15.370164802322602,5,0,0,,5,0,,:,,:,0,0
20200229,S08000022,NHS Highland,0,0,0,,0,0,0,3,35,10.908184254815184,4,0,0,,4,0,,:,,:,0,0
20200229,S08000024,NHS Lothian,0,0,0,,0,0,0,5,178,19.50706309110237,5,0,0,,5,0,,:,,:,0,0
20200229,S08000025,NHS Orkney,0,0,0,,0,0,0,0,4,17.857142857142858,0,0,0,,0,0,,:,,:,0,0
20200229,S08000029,NHS Fife,0,0,0,,0,0,0,5,67,17.908213722502875,5,0,0,,5,0,,:,,:,0,0
20200229,S08000030,NHS Tayside,0,1,0.24006721882126994,,0,0,0,1,82,19.685511943344135,1,0,0,,1,0,,:,,:,0,0
20200229,S08000031,NHS Greater Glasgow and Clyde,0,0,0,,0,0,0,18,129,10.883871620937532,30,0,0,,30,0,,:,,:,0,0
